acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.0602,https://api.spotify.com/v1/audio-analysis/3QHqCKdJBiBfFkN61NR00m,0.414,238347,0.938,3QHqCKdJBiBfFkN61NR00m,1.18e-6,10,0.11,-4.592,0,0.0684,99.014,4,https://api.spotify.com/v1/tracks/3QHqCKdJBiBfFkN61NR00m,audio_features,spotify:track:3QHqCKdJBiBfFkN61NR00m,0.643
0.00882,https://api.spotify.com/v1/audio-analysis/4rTGgMtpd2oNctDXvf3dSz,0.221,254587,0.936,4rTGgMtpd2oNctDXvf3dSz,0.0,3,0.116,-3.03,1,0.131,198.696,4,https://api.spotify.com/v1/tracks/4rTGgMtpd2oNctDXvf3dSz,audio_features,spotify:track:4rTGgMtpd2oNctDXvf3dSz,0.705
0.257,https://api.spotify.com/v1/audio-analysis/4v10FpKEhXQh7SX0blOcEb,0.518,217933,0.55,4v10FpKEhXQh7SX0blOcEb,0.000112,9,0.0846,-8.205,1,0.0302,99.509,4,https://api.spotify.com/v1/tracks/4v10FpKEhXQh7SX0blOcEb,audio_features,spotify:track:4v10FpKEhXQh7SX0blOcEb,0.593
0.052,https://api.spotify.com/v1/audio-analysis/0qn60hVniX1g4MwS4TYU7F,0.497,334040,0.778,0qn60hVniX1g4MwS4TYU7F,2.16e-5,6,0.0948,-6.074,1,0.077,129.641,4,https://api.spotify.com/v1/tracks/0qn60hVniX1g4MwS4TYU7F,audio_features,spotify:track:0qn60hVniX1g4MwS4TYU7F,0.791
0.00605,https://api.spotify.com/v1/audio-analysis/283h2Qin1EOz64X0BmEycb,0.56,360760,0.567,283h2Qin1EOz64X0BmEycb,0.00145,9,0.0777,-8.162,1,0.0759,136.85,4,https://api.spotify.com/v1/tracks/283h2Qin1EOz64X0BmEycb,audio_features,spotify:track:283h2Qin1EOz64X0BmEycb,0.557
0.122,https://api.spotify.com/v1/audio-analysis/45D28FUDqTLCQpDy0CWcrN,0.611,260347,0.82,45D28FUDqTLCQpDy0CWcrN,0.13,11,0.0508,-8.144,1,0.0447,114.866,4,https://api.spotify.com/v1/tracks/45D28FUDqTLCQpDy0CWcrN,audio_features,spotify:track:45D28FUDqTLCQpDy0CWcrN,0.943
9.02e-5,https://api.spotify.com/v1/audio-analysis/3TzZQH8K4sA0JsAFMXI5Kc,0.419,226200,0.884,3TzZQH8K4sA0JsAFMXI5Kc,6.97e-5,7,0.0593,-6.287,1,0.0794,92.78,4,https://api.spotify.com/v1/tracks/3TzZQH8K4sA0JsAFMXI5Kc,audio_features,spotify:track:3TzZQH8K4sA0JsAFMXI5Kc,0.816
0.0533,https://api.spotify.com/v1/audio-analysis/4yNI7R3ZDny0VCfFF0BkL0,0.557,321800,0.597,4yNI7R3ZDny0VCfFF0BkL0,0.000154,7,0.142,-7.965,1,0.0946,136.799,4,https://api.spotify.com/v1/tracks/4yNI7R3ZDny0VCfFF0BkL0,audio_features,spotify:track:4yNI7R3ZDny0VCfFF0BkL0,0.76
0.371,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,0.558,180387,0.559,7KA4W4McWYRpgf0fWsJZWB,7.49e-6,6,0.109,-9.222,1,0.0959,78.558,4,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.62
0.202,https://api.spotify.com/v1/audio-analysis/6Dm2KfuPBa3eXOgHaT88r4,0.381,233627,0.334,6Dm2KfuPBa3eXOgHaT88r4,0.000203,7,0.411,-11.36,1,0.0271,102.632,4,https://api.spotify.com/v1/tracks/6Dm2KfuPBa3eXOgHaT88r4,audio_features,spotify:track:6Dm2KfuPBa3eXOgHaT88r4,0.171
0.0569,https://api.spotify.com/v1/audio-analysis/06zVrIkxLx2ij0VF5IiuC1,0.523,271853,0.784,06zVrIkxLx2ij0VF5IiuC1,5.29e-5,3,0.111,-8.192,1,0.0365,93.037,4,https://api.spotify.com/v1/tracks/06zVrIkxLx2ij0VF5IiuC1,audio_features,spotify:track:06zVrIkxLx2ij0VF5IiuC1,0.226
0.00337,https://api.spotify.com/v1/audio-analysis/39KmBOGkD1ztCbVeo2uspA,0.52,277560,0.914,39KmBOGkD1ztCbVeo2uspA,0.0,2,0.234,-4.652,1,0.0498,137.995,4,https://api.spotify.com/v1/tracks/39KmBOGkD1ztCbVeo2uspA,audio_features,spotify:track:39KmBOGkD1ztCbVeo2uspA,0.58
0.000677,https://api.spotify.com/v1/audio-analysis/53LovEbSOlvxq2qj8EMWub,0.293,259533,0.911,53LovEbSOlvxq2qj8EMWub,7.85e-5,9,0.0402,-6.042,0,0.103,137.016,4,https://api.spotify.com/v1/tracks/53LovEbSOlvxq2qj8EMWub,audio_features,spotify:track:53LovEbSOlvxq2qj8EMWub,0.503
0.00548,https://api.spotify.com/v1/audio-analysis/7qimFcJMQ4pCqxLOCtEK3M,0.426,248973,0.951,7qimFcJMQ4pCqxLOCtEK3M,0.0,2,0.15,-3.739,1,0.0593,174.11,4,https://api.spotify.com/v1/tracks/7qimFcJMQ4pCqxLOCtEK3M,audio_features,spotify:track:7qimFcJMQ4pCqxLOCtEK3M,0.527
0.74,https://api.spotify.com/v1/audio-analysis/3jiuQp3Q2qYHjOkd08msYy,0.636,167773,0.869,3jiuQp3Q2qYHjOkd08msYy,8.87e-6,0,0.188,-4.874,1,0.0595,100.006,4,https://api.spotify.com/v1/tracks/3jiuQp3Q2qYHjOkd08msYy,audio_features,spotify:track:3jiuQp3Q2qYHjOkd08msYy,0.812
0.325,https://api.spotify.com/v1/audio-analysis/1ACZpHI5vZ5Ea4xGlkdGWM,0.927,328667,0.367,1ACZpHI5vZ5Ea4xGlkdGWM,0.0,9,0.132,-7.797,1,0.382,99.053,4,https://api.spotify.com/v1/tracks/1ACZpHI5vZ5Ea4xGlkdGWM,audio_features,spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM,0.576
0.00611,https://api.spotify.com/v1/audio-analysis/1vjq8CYHjEldjWPCCBTu2Y,0.565,200107,0.794,1vjq8CYHjEldjWPCCBTu2Y,0.0062,7,0.0908,-9.101,1,0.0305,113.874,4,https://api.spotify.com/v1/tracks/1vjq8CYHjEldjWPCCBTu2Y,audio_features,spotify:track:1vjq8CYHjEldjWPCCBTu2Y,0.833
8.92e-5,https://api.spotify.com/v1/audio-analysis/4ddGbSuvryKgVIIBjBqGHo,0.374,281480,0.92,4ddGbSuvryKgVIIBjBqGHo,0.491,8,0.0864,-7.561,1,0.0478,195.93,4,https://api.spotify.com/v1/tracks/4ddGbSuvryKgVIIBjBqGHo,audio_features,spotify:track:4ddGbSuvryKgVIIBjBqGHo,0.55
0.218,https://api.spotify.com/v1/audio-analysis/1pMUH8GwaFtISXNcZay49R,0.423,178733,0.92,1pMUH8GwaFtISXNcZay49R,1.36e-6,9,0.422,-8.122,1,0.0583,158.066,4,https://api.spotify.com/v1/tracks/1pMUH8GwaFtISXNcZay49R,audio_features,spotify:track:1pMUH8GwaFtISXNcZay49R,0.874
0.0112,https://api.spotify.com/v1/audio-analysis/5U3z76HVF4JZ5cc7Xaem5v,0.548,218747,0.727,5U3z76HVF4JZ5cc7Xaem5v,0.00687,0,0.174,-7.68,1,0.0286,95.112,4,https://api.spotify.com/v1/tracks/5U3z76HVF4JZ5cc7Xaem5v,audio_features,spotify:track:5U3z76HVF4JZ5cc7Xaem5v,0.744
